Semester,Semesterbeginn,Semesterende
1,25.11.2023,24.05.2024
2,25.05.2024,24.11.2024
3,25.11.2024,24.05.2025
4,25.05.2025,24.11.2025
5,25.11.2025,24.05.2026
6,25.05.2026,24.11.2026
7,25.11.2026,24.05.2027
8,25.05.2027,25.11.2027
